Class,Output,AnswerChoices,CorrectAnswer,AnswerTests,Hint,Figure,FigureType,VideoLink,Tag
text,"Now that you have learned the basics techniques and statistical calculations used to describe a data set, the next step is figuring out how to effectively illustrate and visualize your data.",NA,NA,NA,NA,NA,NA,NA,NA
text,"It is useful to first visualize the data before a statistician engages in a thorough analysis of the data set. In this lesson, we are going to learn useful techniques for visualizing numerical variables.",NA,NA,NA,NA,NA,NA,NA,NA
text,"By organizing the data into a PLOT or GRAPH, a statistician is able to explore and summarize some basic properties of the data set. The discipline of quantitatively describing the main properties of a data set is known as DESCRIPTIVE STATISTICS. ",NA,NA,NA,NA,NA,NA,NA,NA
text,"The simplest type of plot is the DOT PLOT, which is used to visually convey the values of one variable. In a dot plot, there is only a horizontal x-axis, and the data points are represented as dots above this axis.",NA,NA,NA,NA,NA,NA,NA,NA
figure,"
Here is a dot plot created using the variable 'price' from our 'cars' data set. As you may notice, the price is reported along the x-axis in $1000s, and each point above the axis represents the price of one of the
54 cars in our data set.",NA,NA,NA,NA,mod1_dotplot.R,new,NA,dot plot
range_question,"When looking at this dot plot, around what price (in $1000s) does there appear to be the highest density of data points?",NA,7; 13,range=7-13,Look at the part of the graph where the dots are the darkest and closest together.,NA,NA,NA,dot plot
text,"Since dot plots effectively display the specific numerical value of one variable for each individual in the data set, they are particularly useful when analyzing smaller data sets.",NA,NA,NA,NA,NA,NA,NA,NA
text,"A HISTOGRAM is similar to a dot plot, but instead of showing every specific value, it partitions the values of your data into several bins, providing a more condensed representation of the data.",NA,NA,NA,NA,NA,NA,NA,histogram
figure,"Here I have created a histogram using the miles per gallon data for all of our cars. As you may notice, the values of the MPG along the x-axis are partitioned into bins with a range of 5. The second bin, for example, groups together all of the cars that get 21-25 MPG in the city, and so forth. Note that the bin to the left of this contains those cars with 20 MPG since this value cannot be counted in both bins. The frequency of values in each bin, or the number of cars in each of the intervals, is reported along the y-axis.",NA,NA,NA,NA,mod1_histogram.R,new,NA,histogram
text,"Taller bars signify the range of values in which the majority of the data is located, whereas shorter bars represent a range of values in which only a little bit of the data is located. In other words, histograms provide a view of the DATA DENSITY.",NA,NA,NA,NA,NA,NA,NA,histogram
