Class,Output,AnswerChoices,CorrectAnswer,AnswerTests,Hint,Figure,FigureType,VideoLink,Tag
text,"Welcome to Lesson 2! In this lesson, we will learn what DISPERSION is and what statistical values are needed in order to best describe the spread of data. Further, you will learn all about a box-and-whisker plot which is  a plot commonly used by statisticians when determining variability. ",NA,NA,NA,NA,NA,NA,NA,NA
text,"While measures of central tendency are used to estimate the middle values of a dataset, measures of dispersion are important for describing the spread of the data. ",NA,NA,NA,NA,NA,NA,NA,dispersion
text,The term dispersion refers to degree to which the data values are scattered around an average value. Dispersion is synonymous with other words such as variability and spread.,NA,NA,NA,NA,NA,NA,NA,dispersion
text,"Why is it important to analyze the spread of a particular set of data? Two different samples may have the same mean or median, but different levels of variability or vice versa. ",NA,NA,NA,NA,NA,NA,NA,dispersion
mult_question,"Therefore, it is important to describe both the __________ and _________ of a data set. ","median, variability; central tendency, dispersion; middle, mean; spread, variability","central tendency, dispersion","word= central tendency, dispersion",The first term refers to the middle of a dataset. The second term refers to the spread of a dataset.,NA,NA,NA,dispersion
text,"In this lesson, we will discuss the three statistical values most commonly used to describe the dispersion or variability of a data set. Variability is a fancy term used to classify how variable or spread out the data is. ",NA,NA,NA,NA,NA,NA,NA,NA
text,The first descriptive statistic that can describe the variability of a data set is known as the RANGE. The range is the difference between the maximum and minimum values of the data set. ,NA,NA,NA,NA,NA,NA,NA,range
text,To demonstrate how you can use R to determine the range of a data set we will refer back to the cars data set from the previous lesson. ,NA,NA,NA,NA,NA,NA,NA,range
cmd_question,Type in the R-command 'range(cars$price)' to determine the exact values for the minimum and maximum prices of cars in the data set. ,NA,range(cars$price),swirl1cmd=range(cars$price),Type in 'range(cars$price)' without quotations and press enter to see the minimum and maximum prices. ,NA,NA,NA,range
exact_question,"Now that you have the minimum and maximum 'price' values, calculate the range of the 'price' data. ",NA,54.5,exact=54.5,Subtract the minimum price value from the maximum price value.,NA,NA,NA,range
text,"The second important measure of variability is known as VARIANCE. Mathematically, VARIANCE is the average of the squared differences from the mean. More simply, variance represents the total distance of the data from the mean.",NA,NA,NA,NA,NA,NA,NA,variance
cmd_question,"In R, you can use the command 'var(data)' to easily calculate the variance of a particular set of data. Try calculating the variance for the data 'cars$price'. ",NA,var(cars$price),swirl1cmd=var(cars$price),Type in 'var(cars$price)' without quotations and press enter to see the variance of the prices of cars.,NA,NA,NA,variance
text,The values for variance and standard deviation are very closely related. The standard deviation can be calculated by taking the square root of the variance where as the variance can be calculated by squaring the standard deviation. ,NA,NA,NA,NA,NA,NA,NA,standard deviation
text,"To statisticians, the standard deviation is a more conventional measure of variability because it is expressed in the same units as the original data values.",NA,NA,NA,NA,NA,NA,NA,standard deviation
cmd_question,"Similar to variance, you can use the R-command 'sd(data)' to calculate the standard deviation of a particular set of data. Try calculating the standard deviation for the data 'cars$price'.",NA,sd(cars$price),swirl1cmd=sd(cars$price),Type in 'sd(cars$price)' without quotations and press enter to see the standard deviation of the prices of cars.,NA,NA,NA,standard deviation
text,"The standard deviation is very important when analyzing our data set. A small standard deviation indicates that the data points tend to be located near the mean value, while a large standard deviation indicates that the data points are spread further from the mean.",NA,NA,NA,NA,NA,NA,NA,variance
video,Would you like to watch a short video that goes deeper into how variance and standard deviation are calculated? ,NA,NA,NA,NA,NA,NA,http://youtu.be/E4HAYd0QnRc,dispersion
mult_question,Three important measures of variability are which of the following: ,"mean, median, range; spread, mean, central tendency; variance, dispersion, spread; range, variance, standard deviation","range, variance, standard deviation","word= range, variance, standard deviation",Look for the three specific terms that we focused on calculating. ,NA,NA,NA,dispersion
text,"A BOX PLOT, also called a BOX-AND-WHISKER PLOT, is used to summarize the main descriptive statistics of a particular data set and this type of plot helps illustrate the concept of variability. A box plot is used to visually represent the MINIMUM, FIRST QUARTILE (Q1), MEDIAN, THIRD QUARTILE (Q3), and MAXIMUM of a data set.",NA,NA,NA,NA,NA,NA,NA,box-and-whisker plot
