"","V1","V2","V3"
"1","AFG","AUS","1.19283543841792"
"2","AFG","PAK","2.57185753978694"
"3","AFG","USA","2.30550843811689"
"4","AFR","GBR","3.4893449180058"
"5","AFR","ZAF","2.41875748440802"
"6","AUS","BEL","2.71297534538046"
"7","BEL","CAN","2.47675105370367"
"8","BHR","USA","4.66101694915254"
"9","BWA","NAM","0.809729871492263"
"10","BEL","CAN","2.47675105370367"
"11","CAN","USA","2.51671109871226"
"12","CHN","FRA","1.97567359574983"
"13","CHN","USA","2.55275260123791"
"14","DNK","GBR","0.823381563071329"
"15","ETH","USA","6.63271237519348"
"16","EUR","LBN","2.17704263007903"
"17","CHN","FRA","2.00120951768005"
"18","FRA","USA","2.38194556485016"
"19","AFR","GBR","2.6165797248064"
"20","GBR","JAM","4.21263791374122"
"21","GBR","LBN","2.70868071143034"
"22","AUS","IDN","2.37741456166419"
"23","FRA","IRL","2.7351957581158"
"24","IRN","SYR","2.16758038839655"
"25","IRN","USA","2.1377552361725"
"26","IRN","YEM","1.91430020283976"
"27","ISR","USA","2.50703502960906"
"28","JOR","USA","2.11661697145491"
"29","EUR","LBN","2.37388724035608"
"30","LBN","SYR","1.18318890843544"
"31","LKA","VAT","0.754716981132076"
"32","BWA","NAM","0.809729871492263"
"33","AFR","NGA","2.63600097021587"
"34","NGA","ZAF","1.9978194901148"
"35","BEL","NLD","0.694405264322059"
"36","QAT","USA","4.06677927282665"
"37","RUS","UKR","2.32866764863034"
"38","RUS","USA","2.09503753981223"
"39","IND","SAU","3.77149280029163"
"40","SAU","USA","3.43179593516911"
"41","IRN","SYR","2.27124487625883"
"42","IRQ","SYR","2.09000542455858"
"43","SYR","TUR","1.75184237627768"
"44","SYR","USA","2.17003726602522"
"45","TON","USA","3.48837209302326"
"46","SYR","TUR","1.71333441888782"
"47","TUR","USA","3.09447563391746"
"48","RUS","UKR","2.25534638103948"
"49","CAN","USA","2.76757458026311"
"50","CHN","USA","2.4668409091845"
"51","FRA","USA","2.37110239568413"
"52","GBR","USA","2.60004161174056"
"53","IRN","USA","2.12781739823891"
"54","ISR","USA","2.82105960971273"
"55","RUS","USA","2.04475233725898"
"56","TON","USA","3.48837209302326"
"57","TUR","USA","3.09890220521111"
"58","USA","ZWE","2.91236076441321"
"59","LKA","VAT","0.754716981132076"
"60","AFR","ZAF","2.35089042289688"
"61","NGA","ZAF","2.4310662537181"
"62","USA","ZWE","2.85617094475208"
"63","ABW","ISR","3.6036036036036"
"64","AFR","LBN","2.28310502283105"
"65","AFR","USA","2.89610607998968"
"66","ARG","GBR","2.36486474481326"
"67","AUS","EUR","0.917317971845752"
"68","AUS","IRQ","1.7740510712881"
"69","AUS","NLD","1.25738857234145"
"70","AUS","USA","2.6103720169229"
"71","BHR","QAT","1.72343641013718"
"72","CAN","MEX","2.86676449822103"
"73","CAN","RUS","0.84194941263252"
"74","CHE","USA","3.01351959872702"
"75","CHN","IDN","4.05221607755308"
"76","CHN","IRN","1.74286019921496"
"77","COL","USA","4.48430493273543"
"78","DEU","ITA","2.80069319125777"
"79","BEL","DNK","3.18302387267904"
"80","DNK","TUR","1.29589632829374"
"81","DZA","SYR","2.34691961158118"
"82","ARE","EGY","2.0703933747412"
"83","AUS","EUR","0.613421142331946"
"84","EUR","IRL","2.42922007151332"
"85","EUR","FRA","1.82407232111333"
"86","ARG","GBR","1.6715729585382"
"87","GBR","IRL","2.48363609497084"
"88","GBR","IRQ","2.55457289230225"
"89","GBR","USA","2.69294209610562"
"90","GHA","USA","1.60954022454036"
"91","GTM","USA","2.25356781435441"
"92","IDN","MMR","2.40963855421687"
"93","IDN","USA","1.16869637753308"
"94","IND","NPL","3.23264512324828"
"95","CHN","IRN","1.89969684632459"
"96","IRN","LBN","2.43882433356118"
"97","IRN","UGA","1.44230769230769"
"98","IRN","UKR","3.1649783611547"
"99","AUS","IRQ","1.86093403904315"
"100","IRQ","SYR","2.40232358786991"
"101","IRQ","USA","2.32427542604027"
"102","ABW","ISR","3.6036036036036"
"103","ISR","SYR","2.09282031027639"
"104","LBR","USA","2.61907458972046"
"105","IDN","MMR","2.40963855421687"
"106","NGA","USA","2.36862772281124"
"107","AUS","NLD","1.68539325842697"
"108","PRK","USA","1.49046865373093"
"109","ISR","PSE","2.15302519275873"
"110","BHR","QAT","1.07994959501416"
"111","CAN","RUS","1.83719756432435"
"112","SLE","USA","2.35669657952776"
"113","RUS","SWE","1.540441210792"
"114","THA","VNM","2.23275244101145"
"115","DNK","TUR","1.29589632829374"
"116","ISR","TUR","2.51572327044025"
"117","TUR","VAT","2.78834414958555"
"118","IRN","UKR","3.0812324929972"
"119","UKR","USA","3.45389566546552"
"120","AFG","USA","3.6159687706136"
"121","CHE","USA","4.27097426397257"
"122","COL","USA","4.48430493273543"
"123","IDN","USA","1.36639007583232"
"124","IRQ","USA","2.20271787858479"
"125","ITA","USA","2.97737814714783"
"126","LBR","USA","2.42511726403073"
"127","SLE","USA","2.26421117636768"
"128","USA","VNM","2.71299720164166"
"129","USA","ZMB","2.31302032167832"
"130","TUR","VAT","2.20611385979567"
"131","USA","VNM","2.88455083052012"
"132","IRN","YEM","1.91639780991494"
"133","AUS","ZAF","2.06065055682564"
"134","AFR","KEN","2.43576362472206"
"135","AFR","ZWE","3.70229423709276"
"136","ARE","GBR","3.92098488232438"
"137","ARM","AZE","1.64316651453252"
"138","AUS","CHN","2.62157372998599"
"139","AUS","GBR","3.00314602858965"
"140","AUS","CHN","1.88424762273955"
"141","CHN","LKA","3.18894751481793"
"142","CHN","TWN","3.19395268087454"
"143","AUS","DOM","1.29124820659971"
"144","ESP","USA","2.41621960422484"
"145","EUR","THA","0.740740740740741"
"146","FRA","IRL","2.50047673531655"
"147","GBR","LBY","1.88107094713652"
"148","GBR","LVA","1.27411357988239"
"149","GBR","SYR","2.53397692948992"
"150","GUY","PSE","0.701754385964912"
"151","IND","QAT","0.364328944574219"
"152","IRL","USA","3.40306811401842"
"153","IRL","VCT","1.19760479041916"
"154","FRA","IRQ","2.00168620862085"
"155","ISR","PSE","2.25563889488493"
"156","ITA","MEX","4.40318677034725"
"157","CHN","JPN","1.85683262124455"
"158","JPN","USA","3.01926470380225"
"159","AFR","KEN","2.60058613344042"
"160","LKA","ZMB","2.52100840336134"
"161","GBR","LVA","1.04960925345512"
"162","ITA","MEX","3.96552192447253"
"163","MEX","USA","2.03994907964195"
"164","CMR","NGA","0.730465563172527"
"165","NER","NGA","1.36524750044062"
"166","PHL","USA","2.67576806279296"
"167","IND","QAT","0.364328944574219"
"168","CAF","RWA","3.78151260504202"
"169","EGY","SYR","2.2843658428723"
"170","EUR","THA","0.740740740740741"
"171","IRL","TWN","1.72413793103448"
"172","PHL","TWN","1.09796119157666"
"173","TWN","VNM","0.645161290322581"
"174","MWI","UGA","1.70648464163823"
"175","KEN","USA","1.83264425287903"
"176","MEX","USA","1.79968364926721"
"177","PSE","USA","2.32681965025207"
"178","SYR","USA","1.96553522007816"
"179","LKA","ZMB","2.52100840336134"
"180","CHN","KOR","2.36383334974885"
"181","IRN","KWT","1.92562066790782"
"182","CHN","KOR","3.51305431366883"
"183","IRN","KWT","1.6689859742923"
"184","AFG","CHN","3.1604652440976"
"185","AFR","JAM","1.89873417721519"
"186","AND","DNK","1.2987012987013"
"187","AND","NLD","1.2987012987013"
"188","AND","SWE","1.2987012987013"
"189","ARM","USA","5.09565937600282"
"190","AUS","MDV","7.11111111111111"
"191","AFG","AUT","3.28981723237598"
"192","BGD","THA","0.767099970904795"
"193","BLR","LKA","2.23642172523962"
"194","AUS","CAN","1.23820363549688"
"195","AFG","CHN","3.65276272988044"
"196","CHN","JPN","2.55916762648628"
"197","CHN","PHL","2.08933472026282"
"198","CHN","RUS","2.16558419692319"
"199","CYP","EGY","2.27704394371061"
"200","CYP","TUR","2.07325631328781"
"201","DEU","UKR","1.14557123930083"
"202","AND","DNK","1.2987012987013"
"203","DNK","NOR","1.2987012987013"
"204","CYP","EGY","2.27704394371061"
"205","ESP","PER","3.65853658536585"
"206","BEL","GBR","3.42134173406283"
"207","GBR","MAR","4.12926391382406"
"208","GBR","PAK","2.58010037664586"
"209","GBR","THA","1.87535392811931"
"210","CHN","IDN","1.99658010134034"
"211","GBR","IRL","3.17236351508063"
"212","IRN","KOR","1.27657305206594"
"213","IRN","TUR","2.30816764858017"
"214","IRN","KOR","1.27657305206594"
"215","KOR","PRK","2.4481721564112"
"216","KOR","USA","2.54303567329796"
"217","BLR","LKA","2.23642172523962"
"218","LKA","TCD","2.46305418719212"
"219","GBR","MAR","4.12926391382406"
"220","AUS","MDV","7.11111111111111"
"221","MYS","SYR","2.12102916742267"
"222","AND","NLD","1.2987012987013"
"223","NLD","NOR","1.2987012987013"
"224","DNK","NOR","1.2987012987013"
