Class,Output,AnswerChoices,CorrectAnswer,AnswerTests,Hint,Figure,FigureType,VideoLink,Tag,,
text,"In a very broad sense of the term, a scientist is one who engages in a systematic method to acquire knowledge. More importantly, a scientist seeks to answer important questions or problems through careful observations and methods. These observations - collected from experiments, censuses, surveys, field notes, etc. - are known as DATA. Statistics is the study of how best to collect, analyze, and draw conclusions from data.",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"Once a question has been posed, or a problem identified, the next logical step is to attempt to answer the question. Unfortunately, without any additional information, it is very difficult to answer a question, or diagnose a problem. This is where data collection comes into play! Having a set of observations, or data, related to the question will help reveal an answer.",NA,NA,NA,NA,NA,NA,NA,NA,,
text,But how exactly does one collect useful data?,NA,NA,NA,NA,NA,NA,NA,NA,,
text,"Remember, when conducting research, a scientist wants to answer a question, one that is usually targeted at a specific population. This population does not have to be a human population, as in the most common meaning of the word. Think of this population as the group of entities - people, animals, cars, salaries, etc. - that is to be studied by the scientist.",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"Unfortunately, it is often very difficult, if not impossible, to collect thorough data from an entire population. Not only can it be very time-consuming to do so, it may also  be an inefficient use of resources. Instead, scientists target a SAMPLE population. This sample population is selected in such a way that it is REPRESENTATIVE of the larger population in question. In mathematical terms, this sample population is called a subset of the target population.",NA,NA,NA,NA,NA,NA,NA,sample vs population,,
figure,Here is a simple visual illustration of how a sample is related to a population.,NA,NA,NA,NA,mod1_pop_vs_samp.R,new,NA,sample vs population,,
mult_question,"Let's quickly test your understanding of the term 'representative.' If you were interested in studying the health of men living in the U.S., ages 18-25, which sample would be more representative of the target population: a sample of 25 men who live in a nearby retirement home, or a sample of 25 men who are students at a local university?",Men living at the retirement home; College students,College students,word= College students,"Since your target population is technically all men ages 18-25 living in the U.S., which of these 2 sample populations more closely matches the population of interest?",NA,NA,NA,sample vs population,,
text,"Now that you have a basic idea of how a scientist collects data, the next step is to learn what to do with all of this data. While this raw data does contain useful information, this information is usually specific to each individual in the sample population. The scientist seeks to discover trends and correlations among the subjects in the sample population, so that he or she may draw conclusions about the target population as a whole.",NA,NA,NA,NA,NA,NA,NA,sample vs population,,
text,"To check your understanding of some of the concepts of data collection that we have covered thus far, see if you can complete the following sentence.",NA,NA,NA,NA,NA,NA,NA,sample vs population,,
text_order_question,A statistician collects data from a __________ in order to generalize results to an entire __________. (Separate the two words in your response with a comma.),NA,"sample, population","word_order=sample, population",The first term is a subset of the second. Make sure you type two words separated by a comma.,NA,NA,NA,sample vs population,,
text,"To truly gather as much useful information from the data as possible, it is important to learn how to analyze a data set like a statistician!",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"Before we delve too deeply into the specifics of data visualization and simple data analysis, I would like to introduce a helpful resource. Throughout our lessons, I will use as a reference the free online textbook, 'OpenIntro Statistics,' written by David M. Diez, Christopher D. Barr, and Mine Cetinkaya-Rundel. If at any time you feel as if you would like a more thorough explanation of the concepts, you may access the textbook via the following URL: http://www.openintro.org/stat/down/OpenIntroStatSecond.pdf",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"In addition to this textbook, you'll have the option to watch short videos on various topics as you progress through the lessons. Let's keep going!",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"Today, statistical analysis is inseparable from computing. As we collect greater amounts of data and face more complex statistical problems, we must use special software to help us more easily gain insight from this data.",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"There are many such software tools available to us, however, we will be focusing on one in particular called R. There are many good reasons to use R, but most importantly it is high quality, free of cost, and available to anyone who wishes to use it. I will be using R as a teaching tool for the topics we'll cover together and before you know it, you will know R well enough to perform data analysis on your own.",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"Learning R is like learning any other language. There are certain rules that you must follow in order to get the desired results. Let's review some of those basic rules here, so that you can start using R right away.",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"Let's say we wanted to store the value '5' in a new variable 'x'. The way we would do this in R is by typing 'x <- 5'. The ASSIGNMENT OPERATOR is the '<-' in between 'x' and '5,' which says 'x gets the value 5'. It is really just a 'less than' sign followed by a dash. Now it's your turn to try.",NA,NA,NA,NA,NA,NA,NA,assignment operator,,
cmd_question,Store the value '100' in a new variable called 'y'.,NA,y <- 100,swirl1cmd=y <- 100,Use the same syntax that we just introduced. Example: 'x <- 5'. Notice there's a space before and after the assignment operator.,NA,NA,NA,assignment operator,,
text,"Besides storing a single number in a variable, you can also store text, vectors, matrices, and even whole data sets, which R users call DATA FRAMES. Once you've stored something in a variable, you can then use that variable by name when performing other operations.",NA,NA,NA,NA,NA,NA,NA,data frames,,
text,"Each column of a data frame contains the data for one variable. In order to access the values for one particular variable in R, we use the syntax 'data.set.name$variable.name'. A dollar sign is placed after the data set name and before the variable name with no spaces. For example, say we wanted to access the data for the variable 'fruits' from the data set 'foods'. In R, we would do this by typing 'foods$fruits'.",NA,NA,NA,NA,NA,NA,NA,data frames,,
cmd_question,"Let's see if you can do this on your own. Type in the command to access the data for the variable called 'type' from the data set called 'cars'. We'll be working with the 'cars' data set quite a bit later in the lesson, but for now don't worry too much about the output you'll see.",NA,cars$type,swirl1cmd=cars$type,"Type your data set name and then a dollar sign, '$', and finally the variable name with no spaces in between.",NA,NA,NA,data frames,,
text,"R has many BUILT-IN FUNCTIONS that you can use to perform analysis. As we progress through our lessons, I will introduce many of these functions to you as they become relevant. To use a particular function, the syntax is usually something like 'FunctionName(variable)'. Some more advanced functions require more information from you in the form of ARGUMENTS, which are just additional inputs placed inside of the parentheses.",NA,NA,NA,NA,NA,NA,NA,R-command,,
text,Let's try a very simple function on the variable 'y' that you just created above.,NA,NA,NA,NA,NA,NA,NA,R-command,,
cmd_question,"Since you stored the value 100 in the variable 'y', type 'sqrt(y)' to get the square root of 100.",NA,sqrt(y),swirl1cmd=sqrt(y),Type 'sqrt(y)' without quotes and press 'enter'.,NA,NA,NA,R-command,,
cmd_question,"Now use the same function, but this time try storing 'sqrt(y)' in a new variable 'z' using the assignment operator that you just learned about.",NA,z <- sqrt(y),swirl1cmd=z <- sqrt(y),Assign 'sqrt(y)' to z.,NA,NA,NA,assignment operator,,
text,"If you ever find yourself unsure about how a particular function works, you can tap into R's help files for answers. The syntax for doing so is 'help(FunctionName)' or more simply just '?FunctionName' with no space between the '?' and the 'FunctionName'. If, instead, you are not sure of the function you are looking for, you can perform a general search through all of R's built-in functions using 'help.search(term_of_interest)' or again, more simply '??term_of_interest'.",NA,NA,NA,NA,NA,NA,NA,help file,,
cmd_question,View the help file for the 'sqrt' function now. Use the shorthand version I just showed you. Notice the help file that pops up. Feel free to spend a few minutes checking it out. You'll get more comfortable with R help files as you gain more experience using them.,NA,?sqrt,swirl1cmd=?sqrt,Do not include parentheses or variable names when accessing help files. Just type '?FunctionName'.,NA,NA,NA,help file,,
text,"In addition to R's built-in functions, R also contains many built-in data sets that you may easily access and use. I will use one unique data set per lesson to help convey the important concepts at hand.",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"In this lesson, I will use the same 'cars' data set as the 'OpenIntro Statistics' textbook uses in its first chapter. This data set consists of 54 rows and 6 columns. For each of 54 cars from 1993, the following variables are reported: type (large, midsize, small), price (USD), city miles per gallon (MPG), drive train (4WD, front, rear), passengers, and weight (lbs.).",NA,NA,NA,NA,NA,NA,NA,R-command,,
cmd_question,Type 'cars' now to view the entire data set. You'll see that each row represents one car and each column holds one of the variables we just discussed above. You already saw the contents of the 'type' variable when you entered 'cars$type'.,NA,cars,swirl1cmd=cars,Just type 'cars' and press Enter.,NA,NA,NA,R-command,,
