"ee_num","dob","hire_date"
1,1988-04-07,1986-01-09
2,1980-06-25,1990-08-09
3,1962-02-23,1990-06-27
4,1981-10-22,1990-08-12
5,1974-01-08,1992-10-01
6,1990-09-01,1990-10-07
7,1958-04-22,1985-02-01
8,1963-08-30,1987-02-04
9,1978-09-02,1990-12-31
10,1990-12-29,1989-08-18
11,1957-09-09,1991-03-31
12,1992-01-17,1989-11-27
13,1969-02-26,1987-07-19
14,1984-10-27,1993-04-25
15,1957-04-28,1987-08-20
16,1981-11-04,1992-07-16
17,1965-10-19,1987-07-31
18,1974-02-02,1987-05-28
19,1979-09-06,1986-09-06
20,1958-11-20,1987-02-03
21,1990-02-07,1987-11-08
22,1986-08-12,1987-09-23
23,1965-11-10,1986-06-07
24,1973-02-07,1985-05-12
25,1961-05-21,1986-12-21
26,1988-08-25,1992-04-19
27,1954-09-25,1989-09-25
28,1968-10-23,1993-03-27
29,1993-03-29,1992-06-26
30,1983-06-01,1985-05-31
31,1962-03-05,1989-02-08
32,1973-12-16,1987-05-22
33,1972-06-06,1987-09-29
34,1969-05-14,1989-07-27
35,1972-10-29,1986-08-19
36,1952-10-11,1991-11-03
37,1982-11-18,1986-10-24
38,1977-11-27,1987-05-01
39,1957-03-29,1993-12-07
40,1974-05-20,1992-04-08
41,1961-01-09,1989-12-25
42,1990-11-28,1990-10-27
43,1957-09-07,1987-10-23
44,1983-10-25,1990-08-07
45,1990-05-26,1987-12-21
46,1959-01-22,1989-07-09
47,1968-10-09,1991-02-05
48,1958-11-18,1989-05-14
49,1954-08-24,1987-03-14
50,1963-03-25,1991-11-22
51,1953-02-01,1985-08-31
52,1961-11-30,1987-10-16
53,1972-10-06,1991-06-17
54,1964-10-18,1989-07-17
55,1984-08-27,1986-05-19
56,1962-09-22,1989-07-15
57,1968-12-17,1989-06-13
58,1989-04-16,1991-10-06
59,1968-08-18,1986-07-29
60,1977-07-17,1992-08-21
61,1960-09-14,1992-10-14
62,1984-12-16,1985-05-18
63,1982-11-22,1987-11-09
64,1985-07-05,1985-02-15
65,1965-04-23,1987-02-25
66,1969-01-25,1991-05-12
67,1989-03-09,1987-10-11
68,1967-05-24,1989-07-31
69,1963-01-17,1985-06-19
70,1958-12-03,1990-01-31
71,1990-11-21,1986-02-04
72,1972-07-22,1993-01-14
73,1992-07-25,1985-02-18
74,1978-09-20,1992-01-19
75,1961-01-08,1985-10-23
76,1950-08-11,1989-09-04
77,1952-07-28,1988-06-17
78,1971-03-28,1985-08-19
79,1970-08-08,1987-11-21
80,1982-10-02,1991-01-08
81,1958-05-15,1993-05-05
82,1970-05-19,1989-04-01
83,1980-03-30,1986-04-14
84,1982-11-07,1989-11-25
85,1960-09-02,1986-10-08
86,1959-03-24,1993-02-02
87,1955-02-23,1988-07-04
88,1971-10-29,1987-10-20
89,1968-08-01,1986-06-11
90,1993-12-20,1993-01-25
91,1974-01-12,1986-07-02
92,1954-01-20,1993-02-08
93,1973-12-20,1986-03-17
94,1983-03-25,1986-03-09
95,1954-05-14,1985-12-13
96,1954-02-05,1989-08-10
97,1993-06-02,1987-09-15
98,1980-05-31,1985-03-29
99,1965-02-23,1987-10-16
