"Accepted Symbol","Synonym Symbol","Scientific Name","Duration","Active Growth Period","Foliage Color","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (°F)"
"ABELM","","Abelmoschus","","","","","","","","",""
"ABES","","Abelmoschus esculentus","Annual, Perennial","","","","","","","",""
"ABIES","","Abies","","","","","","","","",""
"ABBA","","Abies balsamea","Perennial","Spring and Summer","Green","4.0","6.0","13","60","Tolerant","-43"
"ABBAB","","Abies balsamea var. balsamea","Perennial","","","","","","","",""
"ABUTI","","Abutilon","","","","","","","","",""
"ABTH","","Abutilon theophrasti","Annual","","","","","","","",""
"ACACI","","Acacia","","","","","","","","",""
"ACCO2","","Acacia constricta","Perennial","Spring and Summer","Green","7.0","8.5","4","20","Intolerant","-13"
"ACCOC","","Acacia constricta var. constricta","Perennial","","","","","","","",""
"ACALY","","Acalypha","","","","","","","","",""
"ACGR2","","Acalypha gracilens","Annual","","","","","","","",""
"ACRH","","Acalypha rhomboidea","Annual","","","","","","","",""
"ACVI","","Acalypha virginica","Annual","Spring, Summer, Fall","Green","5.9","7.0","13","60","Intermediate","33"
"ACARO2","","Acarospora","","","","","","","","",""
"ACER","","Acer","","","","","","","","",""
"ACNE2","","Acer negundo","Perennial","Spring and Summer","Green","5.0","7.8","15","75","Tolerant","-46"
"ACNEN","","Acer negundo var. negundo","Perennial","","","","","","","",""
"ACNI5","","Acer nigrum","Perennial","Spring and Summer","Green","4.5","7.3","24","60","Tolerant","-47"
"ACPE","","Acer pensylvanicum","Perennial","Spring and Summer","Green","4.4","6.5","24","76","Tolerant","-47"
"ACPL","","Acer platanoides","Perennial","Spring and Summer","Green","4.8","7.2","32","50","Intermediate","-28"
"ACPS","","Acer pseudoplatanus","Perennial","Spring and Summer","Yellow-Green","5.8","7.0","32","60","Intolerant","-23"
"ACRU","","Acer rubrum","Perennial","Spring and Summer","Green","4.7","7.3","25","80","Intermediate","-47"
"ACRUR","","Acer rubrum var. rubrum","Perennial","","","","","","","",""
"ACRUT","","Acer rubrum var. trilobum","Perennial","","","","","","","",""
"ACSA2","","Acer saccharinum","Perennial","Spring and Summer","Green","4.0","7.3","20","70","Intermediate","-47"
"ACSA3","","Acer saccharum","Perennial","Spring and Summer","Green","3.7","7.9","22","80","Tolerant","-47"
"ACSAS","","Acer saccharum var. saccharum","Perennial","","","","","","","",""
"ACSP2","","Acer spicatum","Perennial","Spring and Summer","Green","4.8","7.0","30","70","Tolerant","-47"
"ACHIL","","Achillea","","","","","","","","",""
"ACMI2","","Achillea millefolium","Perennial","Spring","Green","6.0","8.0","8","60","Intermediate","-38"
"ACMIO","","Achillea millefolium var. occidentalis","Perennial","Spring","Green","6.0","8.0","8","26","Intermediate","-38"
"ACHYR2","","Achyranthes","","","","","","","","",""
"ACAS","","Achyranthes aspera","Annual, Perennial","","","","","","","",""
"ACASP","","Achyranthes aspera var. pubescens","Annual, Perennial","","","","","","","",""
"ACINO","","Acinos","","","","","","","","",""
"ACAR2","","Acinos arvensis","Annual, Perennial","","","","","","","",""
"ACONI","","Aconitum","","","","","","","","",""
"ACUN","","Aconitum uncinatum","Perennial","","","","","","","",""
"ACUNM","","Aconitum uncinatum ssp. muticum","Perennial","","","","","","","",""
"ACUNU","","Aconitum uncinatum ssp. uncinatum","Perennial","","","","","","","",""
"ACORU","","Acorus","","","","","","","","",""
"ACCA4","","Acorus calamus","Perennial","Spring and Summer","Green","5.2","7.2","32","60","Intolerant","-38"
"ACTAE","","Actaea","","","","","","","","",""
"ACPA","","Actaea pachypoda","Perennial","","","","","","","",""
"ACPO11","","Actaea podocarpa","Perennial","","","","","","","",""
"ACRA7","","Actaea racemosa","Perennial","","","","","","","",""
"ACRAR","","Actaea racemosa var. racemosa","Perennial","","","","","","","",""
"ADIAN","","Adiantum","","","","","","","","",""
"ADAL","","Adiantum aleuticum","Perennial","","","","","","","",""
"ADCA","","Adiantum capillus-veneris","Perennial","Spring and Summer","Green","6.0","8.0","10","60","Tolerant","-33"
"ADPE","","Adiantum pedatum","Perennial","Spring and Summer","Dark Green","4.6","6.6","36","60","Tolerant","-38"
"ADLUM","","Adlumia","","","","","","","","",""
"ADFU","","Adlumia fungosa","Biennial","","","","","","","",""
"AEGIL","","Aegilops","","","","","","","","",""
"AETR","","Aegilops triuncialis","Annual","","","","","","","",""
"AEGOP","","Aegopodium","","","","","","","","",""
"AEPO","","Aegopodium podagraria","Perennial","","","","","","","",""
"AESCH","","Aeschynomene","","","","","","","","",""
"AEAM","","Aeschynomene americana","Perennial","","","","","","","",""
"AEVI3","","Aeschynomene virginica","Annual","","","","","","","",""
"AESCU","","Aesculus","","","","","","","","",""
"AEFL","","Aesculus flava","Perennial","Spring and Summer","Green","5.0","7.0","39","84","Tolerant","-18"
"AEHI","","Aesculus hippocastanum","Perennial","","","","","","","",""
"AEHY","","Aesculus ×hybrida","Perennial","","","","","","","",""
"AGALI","","Agalinis","","","","","","","","",""
"AGAC","","Agalinis acuta","Annual","","","","","","","",""
"AGAU3","","Agalinis auriculata","Annual","","","","","","","",""
"AGFA2","","Agalinis fasciculata","Annual","","","","","","","",""
"AGLI2","","Agalinis linifolia","Perennial","","","","","","","",""
"AGMA3","","Agalinis maritima","Annual","","","","","","","",""
"AGMAM","","Agalinis maritima var. maritima","Annual","","","","","","","",""
"AGOB","","Agalinis obtusifolia","Annual","","","","","","","",""
"AGPU5","","Agalinis purpurea","Annual","","","","","","","",""
"AGSE3","","Agalinis setacea","Annual","","","","","","","",""
"AGSK","","Agalinis skinneriana","Annual","","","","","","","",""
"AGTE3","","Agalinis tenuifolia","Annual","","","","","","","",""
"AGTET","","Agalinis tenuifolia var. tenuifolia","Annual","","","","","","","",""
"AGAST","","Agastache","","","","","","","","",""
"AGNE2","","Agastache nepetoides","Perennial","","","","","","","",""
"AGSC","","Agastache scrophulariifolia","Perennial","","","","","","","",""
"AGERA2","","Ageratina","","","","","","","","",""
"AGAL5","","Ageratina altissima","Perennial","","","","","","","",""
"AGALA","","Ageratina altissima var. altissima","Perennial","","","","","","","",""
"AGAR4","","Ageratina aromatica","Perennial","","","","","","","",""
"AGARA","","Ageratina aromatica var. aromatica","Perennial","","","","","","","",""
"AGERA","","Ageratum","","","","","","","","",""
"AGCO","","Ageratum conyzoides","Annual, Perennial","","","","","","","",""
"AGRIM","","Agrimonia","","","","","","","","",""
"AGGR2","","Agrimonia gryposepala","Perennial","Spring","Green","4.5","7.0","15","55","Intermediate","-43"
"AGMI2","","Agrimonia microcarpa","Perennial","","","","","","","",""
"AGPA6","","Agrimonia parviflora","Perennial","Spring and Summer","Green","6.0","8.0","24","50","Intermediate","-33"
"AGPU","","Agrimonia pubescens","Perennial","","","","","","","",""
"AGRO3","","Agrimonia rostellata","Perennial","Spring","Green","4.5","7.0","35","50","Intermediate","-33"
"AGST","","Agrimonia striata","Perennial","Spring and Summer","Green","5.5","7.5","8","45","Tolerant","-43"
"AGROS","","Agrostemma","","","","","","","","",""
"AGGI","","Agrostemma githago","Annual","","","","","","","",""
"AGROS2","","Agrostis","","","","","","","","",""
"AGCA4","","Agrostis canina","Perennial","Spring and Summer","Green","5.0","7.5","30","60","Intolerant","-33"
"AGCA5","","Agrostis capillaris","Perennial","Spring and Summer","Green","4.9","7.5","32","60","Intolerant","-53"
"AGEL4","","Agrostis elliottiana","Annual","","","","","","","",""
"AGGI2","","Agrostis gigantea","Perennial","Spring and Summer","Green","4.5","8.0","28","60","Intolerant","-38"
"AGHY","","Agrostis hyemalis","Perennial","Spring, Summer, Fall","Green","5.0","7.5","20","45","Intermediate","-33"
"AGPE","","Agrostis perennans","Perennial","Spring, Summer, Fall","Green","5.5","7.5","32","56","Intermediate","-33"
"AGSC5","","Agrostis scabra","Perennial","Spring","Green","6.0","8.0","14","60","Intolerant","-38"
"AGST2","","Agrostis stolonifera","Perennial","Spring and Summer","Green","5.1","7.5","32","60","Intolerant","-53"
"AILAN","","Ailanthus","","","","","","","","",""
"AIAL","","Ailanthus altissima","Perennial","Spring and Summer","Green","4.1","7.9","14","90","Intolerant","-18"
"AIRA","","Aira","","","","","","","","",""
"AICA","","Aira caryophyllea","Annual","","","","","","","",""
"AICAC2","","Aira caryophyllea var. caryophyllea","Annual","","","","","","","",""
"AIEL4","","Aira elegans","Annual","","","","","","","",""
"AIPR","","Aira praecox","Annual","","","","","","","",""
"AJUGA","","Ajuga","","","","","","","","",""
"AJCH","","Ajuga chamaepitys","Annual","","","","","","","",""
"AJGE","","Ajuga genevensis","Perennial","","","","","","","",""
"AJRE","","Ajuga reptans","Perennial","Spring, Summer, Fall","Green","5.5","7.5","35","65","Tolerant","-23"
"AKEBI","","Akebia","","","","","","","","",""
"AKQU","","Akebia quinata","Perennial","","","","","","","",""
"ALBIZ","","Albizia","","","","","","","","",""
"ALJU","","Albizia julibrissin","Perennial","Spring and Summer","White-Gray","4.8","7.3","30","60","Intolerant","2"
"ALCEA","","Alcea","","","","","","","","",""
"ALRO3","","Alcea rosea","Biennial, Perennial","","","","","","","",""
"ALETR","","Aletris","","","","","","","","",""
"ALAU","","Aletris aurea","Perennial","","","","","","","",""
"ALFA2","","Aletris farinosa","Perennial","","","","","","","",""
"ALISM","","Alisma","","","","","","","","",""
"ALSU","","Alisma subcordatum","Perennial","Spring and Summer","Green","5.0","7.0","35","60","Intolerant","-33"
"ALTR7","","Alisma triviale","Perennial","","","","","","","",""
"ALLIA","","Alliaria","","","","","","","","",""
"ALPE4","","Alliaria petiolata","Annual, Biennial","","","","","","","",""
"ALLIU","","Allium","","","","","","","","",""
"ALCA3","","Allium canadense","Perennial","","","","","","","",""
"ALCAC","","Allium canadense var. canadense","Perennial","","","","","","","",""
"ALCE2","","Allium cernuum","Perennial","","","","","","","",""
"ALCEC2","","Allium cernuum var. cernuum","Perennial","","","","","","","",""
"ALSA2","","Allium sativum","Perennial","","","","","","","",""
"ALSC","","Allium schoenoprasum","Perennial","","","","","","","",""
"ALSCS","","Allium schoenoprasum var. sibiricum","Perennial","","","","","","","",""
"ALTR3","","Allium tricoccum","Perennial","","","","","","","",""
