"date","visits","simplystats"
2011-01-01,0,0
2011-01-02,0,0
2011-01-03,0,0
2011-01-04,0,0
2011-01-05,0,0
2011-01-06,0,0
2011-01-07,0,0
2011-01-08,0,0
2011-01-09,0,0
2011-01-10,0,0
2011-01-11,0,0
2011-01-12,0,0
2011-01-13,0,0
2011-01-14,0,0
2011-01-15,0,0
2011-01-16,0,0
2011-01-17,0,0
2011-01-18,0,0
2011-01-19,0,0
2011-01-20,0,0
2011-01-21,5,0
2011-01-22,3,0
2011-01-23,4,0
2011-01-24,15,0
2011-01-25,7,0
2011-01-26,6,0
2011-01-27,5,0
2011-01-28,9,0
2011-01-29,3,0
2011-01-30,4,0
2011-01-31,10,0
2011-02-01,11,0
2011-02-02,11,0
2011-02-03,9,0
2011-02-04,14,0
2011-02-05,6,0
2011-02-06,3,0
2011-02-07,12,0
2011-02-08,12,0
2011-02-09,11,0
2011-02-10,10,0
2011-02-11,1,0
2011-02-12,5,0
2011-02-13,5,0
2011-02-14,23,0
2011-02-15,7,0
2011-02-16,15,0
2011-02-17,13,0
2011-02-18,8,0
2011-02-19,0,0
2011-02-20,3,0
2011-02-21,8,0
2011-02-22,14,0
2011-02-23,10,0
2011-02-24,6,0
2011-02-25,7,0
2011-02-26,8,0
2011-02-27,4,0
2011-02-28,11,0
2011-03-01,8,0
2011-03-02,20,0
2011-03-03,10,0
2011-03-04,12,0
2011-03-05,4,0
2011-03-06,3,0
2011-03-07,11,0
2011-03-08,8,0
2011-03-09,11,0
2011-03-10,12,0
2011-03-11,11,0
2011-03-12,5,0
2011-03-13,2,0
2011-03-14,9,0
2011-03-15,11,0
2011-03-16,7,0
2011-03-17,7,0
2011-03-18,4,0
2011-03-19,1,0
2011-03-20,2,0
2011-03-21,6,0
2011-03-22,7,0
2011-03-23,6,0
2011-03-24,7,0
2011-03-25,7,0
2011-03-26,5,0
2011-03-27,3,0
2011-03-28,21,0
2011-03-29,25,0
2011-03-30,13,0
2011-03-31,20,0
2011-04-01,15,0
2011-04-02,4,0
2011-04-03,5,0
2011-04-04,21,0
2011-04-05,12,0
2011-04-06,7,0
2011-04-07,12,0
2011-04-08,11,0
2011-04-09,1,0
2011-04-10,6,0
2011-04-11,7,0
2011-04-12,5,0
2011-04-13,4,0
2011-04-14,13,0
2011-04-15,9,0
2011-04-16,3,0
2011-04-17,11,0
2011-04-18,7,0
2011-04-19,9,0
2011-04-20,6,0
2011-04-21,4,0
2011-04-22,5,0
2011-04-23,3,0
2011-04-24,1,0
2011-04-25,7,0
2011-04-26,9,0
2011-04-27,9,0
2011-04-28,12,0
2011-04-29,6,0
2011-04-30,2,0
2011-05-01,0,0
2011-05-02,6,0
2011-05-03,8,0
2011-05-04,6,0
2011-05-05,7,0
2011-05-06,7,0
2011-05-07,0,0
2011-05-08,5,0
2011-05-09,7,0
2011-05-10,6,0
2011-05-11,5,0
2011-05-12,14,0
2011-05-13,5,0
2011-05-14,6,0
2011-05-15,4,0
