"X","Indicator","Data.Source","PUBLISH.STATES","Year","WHO.region","Country","Sex","Display.Value","Numeric","Low","High","Comments"
8,"Children aged <5 years underweight (%)","NLIS_310044","Published",1986,"Africa","Senegal","Male",19.3,19.3,NA,NA,NA
11,"Children aged <5 years underweight (%)","NLIS_310095","Published",1989,"Africa","Uganda","Female",19.1,19.1,NA,NA,NA
13,"Children aged <5 years underweight (%)","NLIS_310138","Published",1988,"Africa","Zimbabwe","Female",7.2,7.2,NA,NA,NA
16,"Children aged <5 years underweight (%)","NLIS_310044","Published",1986,"Africa","Senegal","Female",15.3,15.3,NA,NA,NA
18,"Children aged <5 years underweight (%)","NLIS_310095","Published",1989,"Africa","Uganda","Male",20.4,20.4,NA,NA,NA
21,"Children aged <5 years underweight (%)","NLIS_310138","Published",1988,"Africa","Zimbabwe","Male",8.7,8.7,NA,NA,NA
26,"Children aged <5 years underweight (%)","NLIS_310045","Published",1987,"Africa","Mali","Male",30.9,30.9,NA,NA,NA
27,"Children aged <5 years underweight (%)","NLIS_310045","Published",1987,"Africa","Mali","Female",27,27,NA,NA,NA
29,"Children aged <5 years underweight (%)","NLIS_310092","Published",1987,"Africa","Burundi","Male",32.6,32.6,NA,NA,NA
30,"Children aged <5 years underweight (%)","NLIS_310092","Published",1987,"Africa","Burundi","Female",27.8,27.8,NA,NA,NA
37,"Children aged <5 years underweight (%)","NLIS_310187","Published",1981,"Americas","Barbados","Female",5.7,5.7,NA,NA,NA
38,"Children aged <5 years underweight (%)","NLIS_310189","Published",1972,"Americas","Canada","Male",1.8,1.8,NA,NA,NA
42,"Children aged <5 years underweight (%)","NLIS_310222","Published",1987,"Americas","Trinidad and Tobago","Female",4.7,4.7,NA,NA,NA
44,"Children aged <5 years underweight (%)","NLIS_310232","Published",1989,"Americas","Bolivia (Plurinational State of)","Female",7.5,7.5,NA,NA,NA
45,"Children aged <5 years underweight (%)","NLIS_310233","Published",1990,"Americas","Paraguay","Male",2.2,2.2,NA,NA,NA
46,"Children aged <5 years underweight (%)","NLIS_310234","Published",1989,"Americas","Brazil","Male",5.3,5.3,NA,NA,NA
48,"Children aged <5 years underweight (%)","NLIS_310240","Published",1975,"Eastern Mediterranean","Tunisia","Female",19.1,19.1,NA,NA,NA
50,"Children aged <5 years underweight (%)","NLIS_310282","Published",1975,"South-East Asia","Nepal","Male",61.3,61.3,NA,NA,NA
53,"Children aged <5 years underweight (%)","NLIS_310309","Published",1987,"South-East Asia","Thailand","Female",16,16,NA,NA,NA
55,"Children aged <5 years underweight (%)","NLIS_310319","Published",1977,"Western Pacific","Singapore","Female",10.8,10.8,NA,NA,NA
57,"Children aged <5 years underweight (%)","NLIS_310363","Published",1992,"Americas","Peru","Male",9.7,9.7,NA,NA,NA
59,"Children aged <5 years underweight (%)","NLIS_310365","Published",1991,"Americas","Dominican Republic","Female",7.5,7.5,NA,NA,NA
62,"Children aged <5 years underweight (%)","NLIS_310375","Published",1991,"Africa","Cameroon","Female",18.3,18.3,NA,NA,NA
65,"Children aged <5 years underweight (%)","NLIS_310426","Published",1988,"Africa","Ghana","Male",24.8,24.8,NA,NA,NA
67,"Children aged <5 years underweight (%)","NLIS_310430","Published",1989,"Americas","Mexico","Female",13.1,13.1,NA,NA,NA
69,"Children aged <5 years underweight (%)","NLIS_310439","Published",1988,"Africa","Togo","Female",19.7,19.7,NA,NA,NA
