"child","parent"
61.7,70.5
61.7,68.5
61.7,65.5
61.7,64.5
61.7,64
62.2,67.5
62.2,67.5
62.2,67.5
62.2,66.5
62.2,66.5
62.2,66.5
62.2,64.5
63.2,70.5
63.2,69.5
63.2,68.5
63.2,68.5
63.2,68.5
63.2,68.5
63.2,68.5
63.2,68.5
63.2,68.5
63.2,67.5
63.2,67.5
63.2,67.5
63.2,67.5
63.2,67.5
63.2,66.5
63.2,66.5
63.2,66.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,65.5
63.2,64.5
63.2,64.5
63.2,64.5
63.2,64.5
63.2,64
63.2,64
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,69.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,68.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,67.5
64.2,66.5
64.2,66.5
64.2,66.5
64.2,66.5
64.2,66.5
64.2,65.5
64.2,65.5
64.2,65.5
64.2,65.5
64.2,65.5
64.2,64.5
64.2,64.5
64.2,64.5
64.2,64.5
64.2,64
64.2,64
64.2,64
64.2,64
65.2,71.5
65.2,70.5
65.2,69.5
65.2,69.5
65.2,69.5
65.2,69.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,68.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,67.5
65.2,66.5
65.2,66.5
65.2,65.5
65.2,65.5
65.2,65.5
65.2,65.5
65.2,65.5
65.2,65.5
65.2,65.5
65.2,64.5
65.2,64
66.2,71.5
66.2,71.5
66.2,71.5
66.2,70.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,69.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,68.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
66.2,67.5
